linea,ramal,estacion,latitud,longitud
Urquiza,Lemos,Tropezón,-34.591953,-58.559179
Urquiza,Lemos,"Teniente Agneta",-34.5488,-58.678850
Urquiza,Lemos,"Sargento Cabral",-34.537187,-58.694932
Urquiza,Lemos,"Sargento Barrufaldi",-34.562450,-58.660275
Urquiza,Lemos,"Rubén Darío",-34.587484,-58.631454
Urquiza,Lemos,"Pedro Arata",-34.592420,-58.474807
Urquiza,Lemos,"Pablo Podestá",-34.588320,-58.608154
Urquiza,Lemos,"Martín Coronado",-34.588979,-58.590732
Urquiza,Lemos,Lourdes,-34.593833,-58.546748
Urquiza,Lemos,"Juan B. de La Salle",-34.573531,-58.645364
Urquiza,Lemos,"José María Bosch",-34.590027,-58.571826
Urquiza,Lemos,"José Artigas",-34.590031,-58.466273
Urquiza,Lemos,"Jorge Newbery",-34.587821,-58.621874
Urquiza,Lemos,"General Lemos",-34.532911,-58.700836
Urquiza,Lemos,"Fernández Moreno",-34.595587,-58.535161
Urquiza,Lemos,"Federico Lacroze",-34.586715,-58.455586
Urquiza,Lemos,"El Libertador",-34.594331,-58.502336
Urquiza,Lemos,"Ejército de los Andes",-34.579816,-58.640471
Urquiza,Lemos,"Dr. Francisco Beiró",-34.593146,-58.494176
Urquiza,Lemos,"Coronel F. Lynch",-34.597257,-58.524007
Urquiza,Lemos,"Capitán Lozano",-34.555573,-58.669500
Urquiza,Lemos,"Campo de Mayo",-34.543701,-58.685902
Urquiza,Lemos,"Antonio Devoto",-34.595597,-58.510477
"Trenes del Interior",Resistencia,Tapenaga,-27.565176,-59.661873
"Trenes del Interior",Resistencia,Resistencia,,
"Trenes del Interior",Resistencia,"Los Amores",-28.101568,-59.980448
"Trenes del Interior",Resistencia,"La Vicuña",-27.977519,-59.978320
"Trenes del Interior",Resistencia,"La Sabana",-27.870767,-59.938856
"Trenes del Interior",Resistencia,"Gral. Obligado",-27.410850,-59.418957
"Trenes del Interior",Resistencia,"Gral. Dónovan",-27.385383,-59.109631
"Trenes del Interior",Resistencia,"Fortín Cardozo",-27.408981,-59.233644
"Trenes del Interior",Resistencia,"Desvío Km 535",-27.396555,-59.177717
"Trenes del Interior",Resistencia,"Desvío Km 523",-27.413635,-59.288140
"Trenes del Interior",Resistencia,"Desvío Km 519",-27.412629,-59.336663
"Trenes del Interior",Resistencia,"Desvío Km 474",-27.585248,-59.708440
"Trenes del Interior",Resistencia,"Desvío Km 433",-27.774982,-59.906012
"Trenes del Interior",Resistencia,"Cote Lai",-27.527297,-59.574233
